Section	Division	Group	Class	PkdSuffix	Description
A	1	01.01	01.11	PKD 01.11.Z	Uprawa zbóż, roślin strączkowych i roślin oleistych na nasiona, z wyłączeniem ryżu
A	1	01.01	01.12	PKD 01.12.Z	Uprawa ryżu
A	1	01.01	01.13	PKD 01.13.Z	Uprawa warzyw, włączając melony oraz uprawa roślin korzeniowych i roślin bulwiastych
A	1	01.01	01.14	PKD 01.14.Z	Uprawa trzciny cukrowej
A	1	01.01	01.15	PKD 01.15.Z	Uprawa tytoniu
A	1	01.01	01.16	PKD 01.16.Z	Uprawa roślin włóknistych
A	1	01.01	01.19	PKD 01.19.Z	Pozostałe uprawy rolne inne niż wieloletnie
A	1	01.02	01.21	PKD 01.21.Z	Uprawa winogron
A	1	01.02	01.22	PKD 01.22.Z	Uprawa drzew i krzewów owocowych tropikalnych i podzwrotnikowych
A	1	01.02	01.23	PKD 01.23.Z	Uprawa drzew i krzewów owocowych cytrusowych
A	1	01.02	01.24	PKD 01.24.Z	Uprawa drzew i krzewów owocowych ziarnkowych i pestkowych
A	1	01.02	01.25	PKD 01.25.Z	Uprawa pozostałych drzew i krzewów owocowych oraz orzechów
A	1	01.02	01.26	PKD 01.26.Z	Uprawa drzew oleistych
A	1	01.02	01.27	PKD 01.27.Z	Uprawa roślin wykorzystywanych do produkcji napojów
A	1	01.02	01.28	PKD 01.28.Z	Uprawa roślin przyprawowych i aromatycznych oraz roślin wykorzystywanych do produkcji leków i wyrobów farmaceutycznych
A	1	01.02	01.29	PKD 01.29.Z	Uprawa pozostałych roślin wieloletnich
A	1	01.03	01.30	PKD 01.30.Z	Rozmnażanie roślin
A	1	01.04	01.41	PKD 01.41.Z	Chów i hodowla bydła mlecznego
A	1	01.04	01.42	PKD 01.42.Z	Chów i hodowla pozostałego bydła i bawołów
A	1	01.04	01.43	PKD 01.43.Z	Chów i hodowla koni i pozostałych zwierząt koniowatych
A	1	01.04	01.44	PKD 01.44.Z	Chów i hodowla wielbłądów i zwierząt wielbłądowatych
A	1	01.04	01.45	PKD 01.45.Z	Chów i hodowla owiec i kóz
A	1	01.04	01.46	PKD 01.46.Z	Chów i hodowla świń
A	1	01.04	01.47	PKD 01.47.Z	Chów i hodowla drobiu
A	1	01.04	01.49	PKD 01.49.Z	Chów i hodowla pozostałych zwierząt
A	1	01.05	01.50	PKD 01.50.Z	Uprawy rolne połączone z chowem i hodowlą zwierząt (działalność mieszana)
A	1	01.06	01.61	PKD 01.61.Z	Działalność usługowa wspomagająca produkcję roślinną
A	1	01.06	01.62	PKD 01.62.Z	Działalność usługowa wspomagająca chów i hodowlę zwierząt gospodarskich
A	1	01.06	01.63	PKD 01.63.Z	Działalność usługowa następująca po zbiorach
A	1	01.06	01.64	PKD 01.64.Z	Obróbka nasion dla celów rozmnażania roślin
A	1	01.07	01.70	PKD 01.70.Z	Łowiectwo i pozyskiwanie zwierząt łownych, włączając działalność usługową
A	2	02.01	02.10	PKD 02.10.Z	Gospodarka leśna i pozostała działalność leśna, z wyłączeniem pozyskiwania produktów leśnych
A	2	02.02	02.20	PKD 02.20.Z	Pozyskiwanie drewna
A	2	02.03	02.30	PKD 02.30.Z	Pozyskiwanie dziko rosnących produktów leśnych, z wyłączeniem drewna
A	2	02.04	02.40	PKD 02.40.Z	Działalność usługowa związana z leśnictwem
A	3	03.01	03.11	PKD 03.11.Z	Rybołówstwo w wodach morskich
A	3	03.01	03.12	PKD 03.12.Z	Rybołówstwo w wodach śródlądowych
A	3	03.02	03.21	PKD 03.21.Z	Chów i hodowla ryb oraz pozostałych organizmów wodnych w wodach morskich
A	3	03.02	03.22	PKD 03.22.Z	Chów i hodowla ryb oraz pozostałych organizmów wodnych w wodach śródlądowych
B	5	05.01	05.10	PKD 05.10.Z	Wydobywanie węgla kamiennego
B	5	05.02	05.20	PKD 05.20.Z	Wydobywanie węgla brunatnego (lignitu)
B	6	06.01	06.10	PKD 06.10.Z	Górnictwo ropy naftowej
B	6	06.02	06.20	PKD 06.20.Z	Górnictwo gazu ziemnego
B	7	07.01	07.10	PKD 07.10.Z	Górnictwo rud żelaza
B	7	07.02	07.21	PKD 07.21.Z	Górnictwo rud uranu i toru
B	7	07.02	07.29	PKD 07.29.Z	Górnictwo pozostałych rud metali nieżelaznych
B	8	08.01	08.11	PKD 08.11.Z	Wydobywanie kamieni ozdobnych oraz kamienia dla potrzeb budownictwa, skał wapiennych, gipsu, kredy i łupków
B	8	08.01	08.12	PKD 08.12.Z	Wydobywanie żwiru i piasku; wydobywanie gliny i kaolinu
B	8	08.09	08.91	PKD 08.91.Z	Wydobywanie minerałów dla przemysłu chemicznego oraz do produkcji nawozów
B	8	08.09	08.92	PKD 08.92.Z	Wydobywanie torfu
B	8	08.09	08.93	PKD 08.93.Z	Wydobywanie soli
B	8	08.09	08.99	PKD 08.99.Z	Pozostałe górnictwo i wydobywanie, gdzie indziej niesklasyfikowane
B	9	09.01	09.10	PKD 09.10.Z	Działalność usługowa wspomagająca eksploatację złóż ropy naftowej i gazu ziemnego
B	9	09.09	09.90	PKD 09.90.Z	Działalność usługowa wspomagająca pozostałe górnictwo i wydobywanie
C	10	10.1	10.11	PKD 10.11.Z	Przetwarzanie i konserwowanie mięsa, z wyłączeniem mięsa z drobiu
C	10	10.1	10.12	PKD 10.12.Z	Przetwarzanie i konserwowanie mięsa z drobiu
C	10	10.1	10.13	PKD 10.13.Z	Produkcja wyrobów z mięsa, włączając wyroby z mięsa drobiowego
C	10	10.2	10.20	PKD 10.20.Z	Przetwarzanie i konserwowanie ryb, skorupiaków i mięczaków
C	10	10.3	10.31	PKD 10.31.Z	Przetwarzanie i konserwowanie ziemniaków
C	10	10.3	10.32	PKD 10.32.Z	Produkcja soków z owoców i warzyw
C	10	10.3	10.39	PKD 10.39.Z	Pozostałe przetwarzanie i konserwowanie owoców i warzyw
C	10	10.4	10.41	PKD 10.41.Z	Produkcja olejów i pozostałych tłuszczów płynnych
C	10	10.4	10.42	PKD 10.42.Z	Produkcja margaryny i podobnych tłuszczów jadalnych
C	10	10.5	10.51	PKD 10.51.Z	Przetwórstwo mleka i wyrób serów
C	10	10.5	10.52	PKD 10.52.Z	Produkcja lodów
C	10	10.6	10.61	PKD 10.61.Z	Wytwarzanie produktów przemiału zbóż
C	10	10.6	10.62	PKD 10.62.Z	Wytwarzanie skrobi i wyrobów skrobiowych
C	10	10.7	10.71	PKD 10.71.Z	Produkcja pieczywa; produkcja świeżych wyrobów ciastkarskich i ciastek
C	10	10.7	10.72	PKD 10.72.Z	Produkcja sucharów i herbatników; produkcja konserwowanych wyrobów ciastkarskich i ciastek
C	10	10.7	10.73	PKD 10.73.Z	Produkcja makaronów, klusek, kuskusu i podobnych wyrobów mącznych
C	10	10.8	10.81	PKD 10.81.Z	Produkcja cukru
C	10	10.8	10.82	PKD 10.82.Z	Produkcja kakao, czekolady i wyrobów cukierniczych
C	10	10.8	10.83	PKD 10.83.Z	Przetwórstwo herbaty i kawy
C	10	10.8	10.84	PKD 10.84.Z	Produkcja przypraw
C	10	10.8	10.85	PKD 10.85.Z	Wytwarzanie gotowych posiłków i dań
C	10	10.8	10.86	PKD 10.86.Z	Produkcja artykułów spożywczych homogenizowanych i żywności dietetycznej
C	10	10.8	10.89	PKD 10.89.Z	Produkcja pozostałych artykułów spożywczych, gdzie indziej niesklasyfikowana
C	10	10.9	10.91	PKD 10.91.Z	Produkcja gotowej paszy dla zwierząt gospodarskich
C	10	10.9	10.92	PKD 10.92.Z	Produkcja gotowej karmy dla zwierząt domowych
C	11	11.0	11.01	PKD 11.01.Z	Destylowanie, rektyfikowanie i mieszanie alkoholi
C	11	11.0	11.02	PKD 11.02.Z	Produkcja win gronowych
C	11	11.0	11.03	PKD 11.03.Z	Produkcja cydru i pozostałych win owocowych
C	11	11.0	11.04	PKD 11.04.Z	Produkcja pozostałych niedestylowanych napojów fermentowanych
C	11	11.0	11.05	PKD 11.05.Z	Produkcja piwa
C	11	11.0	11.06	PKD 11.06.Z	Produkcja słodu
C	11	11.0	11.07	PKD 11.07.Z	Produkcja napojów bezalkoholowych; produkcja wód mineralnych i pozostałych wód butelkowanych
C	12	12.0	12.00	PKD 12.00.Z	PRODUKCJA WYROBÓW TYTONIOWYCH
C	13	13.1	13.10	PKD 13.10.A	Produkcja przędzy bawełnianej
C	13	13.1	13.10	PKD 13.10.B	Produkcja przędzy wełnianej
C	13	13.1	13.10	PKD 13.10.C	Produkcja przędzy z włókien chemicznych
C	13	13.1	13.10	PKD 13.10.D	Produkcja przędzy z pozostałych włókien tekstylnych, włączając produkcję nici
C	13	13.2	13.20	PKD 13.20.A	Produkcja tkanin bawełnianych
C	13	13.2	13.20	PKD 13.20.B	Produkcja tkanin wełnianych
C	13	13.2	13.20	PKD 13.20.C	Produkcja tkanin z włókien chemicznych
C	13	13.2	13.20	PKD 13.20.D	Produkcja pozostałych tkanin
C	13	13.3	13.30	PKD 13.30.Z	Wykończanie wyrobów włókienniczych
C	13	13.9	13.91	PKD 13.91.Z	Produkcja dzianin metrażowych
C	13	13.9	13.92	PKD 13.92.Z	Produkcja gotowych wyrobów tekstylnych
C	13	13.9	13.93	PKD 13.93.Z	Produkcja dywanów i chodników
C	13	13.9	13.94	PKD 13.94.Z	Produkcja wyrobów powroźniczych, lin, szpagatów i wyrobów sieciowych
C	13	13.9	13.95	PKD 13.95.Z	Produkcja włóknin i wyrobów wykonanych z włóknin, z wyłączeniem odzieży
C	13	13.9	13.96	PKD 13.96.Z	Produkcja pozostałych technicznych i przemysłowych wyrobów tekstylnych
C	13	13.9	13.99	PKD 13.99.Z	Produkcja pozostałych wyrobów tekstylnych, gdzie indziej niesklasyfikowana
C	14	14.1	14.11	PKD 14.11.Z	Produkcja odzieży skórzanej
C	14	14.1	14.12	PKD 14.12.Z	Produkcja odzieży roboczej
C	14	14.1	14.13	PKD 14.13.Z	Produkcja pozostałej odzieży wierzchniej
C	14	14.1	14.14	PKD 14.14.Z	Produkcja bielizny
C	14	14.1	14.19	PKD 14.19.Z	Produkcja pozostałej odzieży i dodatków do odzieży
C	14	14.2	14.20	PKD 14.20.Z	Produkcja wyrobów futrzarskich
C	14	14.3	14.31	PKD 14.31.Z	Produkcja wyrobów pończoszniczych
C	14	14.3	14.39	PKD 14.39.Z	Produkcja pozostałej odzieży dzianej
C	15	15.1	15.11	PKD 15.11.Z	Wyprawa skór, garbowanie; wyprawa i barwienie skór futerkowych
C	15	15.1	15.12	PKD 15.12.Z	Produkcja toreb bagażowych, toreb ręcznych i podobnych wyrobów kaletniczych; produkcja wyrobów rymarskich
C	15	15.2	15.20	PKD 15.20.Z	Produkcja obuwia
C	16	16.1	16.10	PKD 16.10.Z	Produkcja wyrobów tartacznych
C	16	16.2	16.21	PKD 16.21.Z	Produkcja arkuszy fornirowych i płyt wykonanych na bazie drewna
C	16	16.2	16.22	PKD 16.22.Z	Produkcja gotowych parkietów podłogowych
C	16	16.2	16.23	PKD 16.23.Z	Produkcja pozostałych wyrobów stolarskich i ciesielskich dla budownictwa
C	16	16.2	16.24	PKD 16.24.Z	Produkcja opakowań drewnianych
C	16	16.2	16.29	PKD 16.29.Z	Produkcja pozostałych wyrobów z drewna; produkcja wyrobów z korka, słomy i materiałów używanych do wyplatania
C	17	17.1	17.11	PKD 17.11.Z	Produkcja masy włóknistej
C	17	17.1	17.12	PKD 17.12.Z	Produkcja papieru i tektury
C	17	17.2	17.21	PKD 17.21.Z	Produkcja papieru falistego i tektury falistej oraz opakowań z papieru i tektury
C	17	17.2	17.22	PKD 17.22.Z	Produkcja artykułów gospodarstwa domowego, toaletowych i sanitarnych
C	17	17.2	17.23	PKD 17.23.Z	Produkcja artykułów piśmiennych
C	17	17.2	17.24	PKD 17.24.Z	Produkcja tapet
C	17	17.2	17.29	PKD 17.29.Z	Produkcja pozostałych wyrobów z papieru i tektury
C	18	18.1	18.11	PKD 18.11.Z	Drukowanie gazet
C	18	18.1	18.12	PKD 18.12.Z	Pozostałe drukowanie
C	18	18.1	18.13	PKD 18.13.Z	Działalność usługowa związana z przygotowywaniem do druku
C	18	18.1	18.14	PKD 18.14.Z	Introligatorstwo i podobne usługi
C	18	18.2	18.20	PKD 18.20.Z	Reprodukcja zapisanych nośników informacji
C	19	19.1	19.10	PKD 19.10.Z	Wytwarzanie i przetwarzanie koksu
C	19	19.2	19.20	PKD 19.20.Z	Wytwarzanie i przetwarzanie produktów rafinacji ropy naftowej
C	20	20.1	20.11	PKD 20.11.Z	Produkcja gazów technicznych
C	20	20.1	20.12	PKD 20.12.Z	Produkcja barwników i pigmentów
C	20	20.1	20.13	PKD 20.13.Z	Produkcja pozostałych podstawowych chemikaliów nieorganicznych
C	20	20.1	20.14	PKD 20.14.Z	Produkcja pozostałych podstawowych chemikaliów organicznych
C	20	20.1	20.15	PKD 20.15.Z	Produkcja nawozów i związków azotowych
C	20	20.1	20.16	PKD 20.16.Z	Produkcja tworzyw sztucznych w formach podstawowych
C	20	20.1	20.17	PKD 20.17.Z	Produkcja kauczuku syntetycznego w formach podstawowych
C	20	20.2	20.20	PKD 20.20.Z	Produkcja pestycydów i pozostałych środków agrochemicznych
C	20	20.3	20.30	PKD 20.30.Z	Produkcja farb, lakierów i podobnych powłok, farb drukarskich i mas uszczelniających
C	20	20.4	20.41	PKD 20.41.Z	Produkcja mydła i detergentów, środków myjących i czyszczących
C	20	20.4	20.42	PKD 20.42.Z	Produkcja wyrobów kosmetycznych i toaletowych
C	20	20.5	20.51	PKD 20.51.Z	Produkcja materiałów wybuchowych
C	20	20.5	20.52	PKD 20.52.Z	Produkcja klejów
C	20	20.5	20.53	PKD 20.53.Z	Produkcja olejków eterycznych
C	20	20.5	20.59	PKD 20.59.Z	Produkcja pozostałych wyrobów chemicznych, gdzie indziej niesklasyfikowana
C	20	20.6	20.60	PKD 20.60.Z	Produkcja włókien chemicznych
C	21	21.1	21.10	PKD 21.10.Z	Produkcja podstawowych substancji farmaceutycznych
C	21	21.2	21.20	PKD 21.20.Z	Produkcja leków i pozostałych wyrobów farmaceutycznych
C	22	22.1	22.11	PKD 22.11.Z	Produkcja opon i dętek z gumy; bieżnikowanie i regenerowanie opon z gumy
C	22	22.1	22.19	PKD 22.19.Z	Produkcja pozostałych wyrobów z gumy
C	22	22.2	22.21	PKD 22.21.Z	Produkcja płyt, arkuszy, rur i kształtowników z tworzyw sztucznych
C	22	22.2	22.22	PKD 22.22.Z	Produkcja opakowań z tworzyw sztucznych
C	22	22.2	22.23	PKD 22.23.Z	Produkcja wyrobów dla budownictwa z tworzyw sztucznych
C	22	22.2	22.29	PKD 22.29.Z	Produkcja pozostałych wyrobów z tworzyw sztucznych
C	23	23.1	23.11	PKD 23.11.Z	Produkcja szkła płaskiego
C	23	23.1	23.12	PKD 23.12.Z	Kształtowanie i obróbka szkła płaskiego
C	23	23.1	23.13	PKD 23.13.Z	Produkcja szkła gospodarczego
C	23	23.1	23.14	PKD 23.14.Z	Produkcja włókien szklanych
C	23	23.1	23.19	PKD 23.19.Z	Produkcja i obróbka pozostałego szkła, włączając szkło techniczne
C	23	23.2	23.20	PKD 23.20.Z	Produkcja wyrobów ogniotrwałych
C	23	23.3	23.31	PKD 23.31.Z	Produkcja ceramicznych kafli i płytek
C	23	23.3	23.32	PKD 23.32.Z	Produkcja cegieł, dachówek i materiałów budowlanych, z wypalanej gliny
C	23	23.4	23.41	PKD 23.41.Z	Produkcja ceramicznych wyrobów stołowych i ozdobnych
C	23	23.4	23.42	PKD 23.42.Z	Produkcja ceramicznych wyrobów sanitarnych
C	23	23.4	23.43	PKD 23.43.Z	Produkcja ceramicznych izolatorów i osłon izolacyjnych
C	23	23.4	23.44	PKD 23.44.Z	Produkcja pozostałych technicznych wyrobów ceramicznych
C	23	23.4	23.49	PKD 23.49.Z	Produkcja pozostałych wyrobów ceramicznych
C	23	23.5	23.51	PKD 23.51.Z	Produkcja cementu
C	23	23.5	23.52	PKD 23.52.Z	Produkcja wapna i gipsu
C	23	23.6	23.61	PKD 23.61.Z	Produkcja wyrobów budowlanych z betonu
C	23	23.6	23.62	PKD 23.62.Z	Produkcja wyrobów budowlanych z gipsu
C	23	23.6	23.63	PKD 23.63.Z	Produkcja masy betonowej prefabrykowanej
C	23	23.6	23.64	PKD 23.64.Z	Produkcja zaprawy murarskiej
C	23	23.6	23.65	PKD 23.65.Z	Produkcja cementu wzmocnionego włóknem
C	23	23.6	23.69	PKD 23.69.Z	Produkcja pozostałych wyrobów z betonu, gipsu i cementu
C	23	23.7	23.70	PKD 23.70.Z	Cięcie, formowanie i wykańczanie kamienia
C	23	23.9	23.91	PKD 23.91.Z	Produkcja wyrobów ściernych
C	23	23.9	23.99	PKD 23.99.Z	Produkcja pozostałych wyrobów z mineralnych surowców niemetalicznych, gdzie indziej niesklasyfikowana
C	24	24.1	24.10	PKD 24.10.Z	Produkcja surówki, żelazostopów, żeliwa i stali oraz wyrobów hutniczych
C	24	24.2	24.20	PKD 24.20.Z	Produkcja rur, przewodów, kształtowników zamkniętych i łączników, ze stali
C	24	24.3	24.31	PKD 24.31.Z	Produkcja prętów ciągnionych na zimno
C	24	24.3	24.32	PKD 24.32.Z	Produkcja wyrobów płaskich walcowanych na zimno
C	24	24.3	24.33	PKD 24.33.Z	Produkcja wyrobów formowanych na zimno
C	24	24.3	24.34	PKD 24.34.Z	Produkcja drutu
C	24	24.4	24.41	PKD 24.41.Z	Produkcja metali szlachetnych
C	24	24.4	24.42	PKD 24.42.A	Produkcja aluminium hutniczego
C	24	24.4	24.42	PKD 24.42.B	Produkcja wyrobów z aluminium i stopów aluminium
C	24	24.4	24.43	PKD 24.43.Z	Produkcja ołowiu, cynku i cyny
C	24	24.4	24.44	PKD 24.44.Z	Produkcja miedzi
C	24	24.4	24.45	PKD 24.45.Z	Produkcja pozostałych metali nieżelaznych
C	24	24.4	24.46	PKD 24.46.Z	Wytwarzanie paliw jądrowych
C	24	24.5	24.51	PKD 24.51.Z	Odlewnictwo żeliwa
C	24	24.5	24.52	PKD 24.52.Z	Odlewnictwo staliwa
C	24	24.5	24.53	PKD 24.53.Z	Odlewnictwo metali lekkich
C	24	24.5	24.54	PKD 24.54.A	Odlewnictwo miedzi i stopów miedzi
C	24	24.5	24.54	PKD 24.54.B	Odlewnictwo pozostałych metali nieżelaznych, gdzie indziej niesklasyfikowane
C	25	25.1	25.11	PKD 25.11.Z	Produkcja konstrukcji metalowych i ich części
C	25	25.1	25.12	PKD 25.12.Z	Produkcja metalowych elementów stolarki budowlanej
C	25	25.2	25.21	PKD 25.21.Z	Produkcja grzejników i kotłów centralnego ogrzewania
C	25	25.2	25.29	PKD 25.29.Z	Produkcja pozostałych zbiorników, cystern i pojemników metalowych
C	25	25.3	25.30	PKD 25.30.Z	Produkcja wytwornic pary, z wyłączeniem kotłów do centralnego ogrzewania gorącą wodą
C	25	25.4	25.40	PKD 25.40.Z	Produkcja broni i amunicji
C	25	25.5	25.50	PKD 25.50.Z	Kucie, prasowanie, wytłaczanie i walcowanie metali; metalurgia proszków
C	25	25.6	25.61	PKD 25.61.Z	Obróbka metali i nakładanie powłok na metale
C	25	25.6	25.62	PKD 25.62.Z	Obróbka mechaniczna elementów metalowych
C	25	25.7	25.71	PKD 25.71.Z	Produkcja wyrobów nożowniczych i sztućców
C	25	25.7	25.72	PKD 25.72.Z	Produkcja zamków i zawiasów
C	25	25.7	25.73	PKD 25.73.Z	Produkcja narzędzi
C	25	25.9	25.91	PKD 25.91.Z	Produkcja pojemników metalowych
C	25	25.9	25.92	PKD 25.92.Z	Produkcja opakowań z metali
C	25	25.9	25.93	PKD 25.93.Z	Produkcja wyrobów z drutu, łańcuchów i sprężyn
C	25	25.9	25.94	PKD 25.94.Z	Produkcja złączy i śrub
C	25	25.9	25.99	PKD 25.99.Z	Produkcja pozostałych gotowych wyrobów metalowych, gdzie indziej niesklasyfikowana
C	26	26.1	26.11	PKD 26.11.Z	Produkcja elementów elektronicznych
C	26	26.1	26.12	PKD 26.12.Z	Produkcja elektronicznych obwodów drukowanych
C	26	26.2	26.20	PKD 26.20.Z	Produkcja komputerów i urządzeń peryferyjnych
C	26	26.3	26.30	PKD 26.30.Z	Produkcja sprzętu (tele)komunikacyjnego
C	26	26.4	26.40	PKD 26.40.Z	Produkcja elektronicznego sprzętu powszechnego użytku
C	26	26.5	26.51	PKD 26.51.Z	Produkcja instrumentów i przyrządów pomiarowych, kontrolnych i nawigacyjnych
C	26	26.5	26.52	PKD 26.52.Z	Produkcja zegarków i zegarów
C	26	26.6	26.60	PKD 26.60.Z	Produkcja urządzeń napromieniowujących, sprzętu elektromedycznego i elektroterapeutycznego
C	26	26.7	26.70	PKD 26.70.Z	Produkcja instrumentów optycznych i sprzętu fotograficznego
C	26	26.8	26.80	PKD 26.80.Z	Produkcja magnetycznych i optycznych niezapisanych nośników informacji
C	27	27.1	27.11	PKD 27.11.Z	Produkcja elektrycznych silników, prądnic i transformatorów
C	27	27.1	27.12	PKD 27.12.Z	Produkcja aparatury rozdzielczej i sterowniczej energii elektrycznej
C	27	27.2	27.20	PKD 27.20.Z	Produkcja baterii i akumulatorów
C	27	27.3	27.31	PKD 27.31.Z	Produkcja kabli światłowodowych
C	27	27.3	27.32	PKD 27.32.Z	Produkcja pozostałych elektronicznych i elektrycznych przewodów i kabli
C	27	27.3	27.33	PKD 27.33.Z	Produkcja sprzętu instalacyjnego
C	27	27.4	27.40	PKD 27.40.Z	Produkcja elektrycznego sprzętu oświetleniowego
C	27	27.5	27.51	PKD 27.51.Z	Produkcja elektrycznego sprzętu gospodarstwa domowego
C	27	27.5	27.52	PKD 27.52.Z	Produkcja nieelektrycznego sprzętu gospodarstwa domowego
C	27	27.9	27.90	PKD 27.90.Z	Produkcja pozostałego sprzętu elektrycznego
C	28	28.1	28.11	PKD 28.11.Z	Produkcja silników i turbin, z wyłączeniem silników lotniczych, samochodowych i motocyklowych
